year,district,population,week,cases,temp,rainfall,humidity,alert
2022,chittagong,3230507,1,1,21.0,0.0,76.0,False
2022,chittagong,3230507,2,0,22.0,0.0,73.0,False
2022,chittagong,3230507,3,0,20.0,0.0,72.0,False
2022,chittagong,3230507,4,0,20.0,1.0,70.0,False
2022,chittagong,3230507,5,0,21.0,7.0,70.0,False
2022,chittagong,3230507,6,1,21.0,0.0,60.0,False
2022,chittagong,3230507,7,0,22.0,0.0,59.0,False
2022,chittagong,3230507,8,0,24.0,4.0,67.0,False
2022,chittagong,3230507,9,0,26.0,0.0,50.0,False
2022,chittagong,3230507,10,2,27.0,0.0,64.0,False
2022,chittagong,3230507,11,0,27.0,0.0,77.0,False
2022,chittagong,3230507,12,1,28.0,0.0,80.0,False
2022,chittagong,3230507,13,0,29.0,0.0,80.0,False
2022,chittagong,3230507,14,0,29.0,0.0,77.0,False
2022,chittagong,3230507,15,0,30.0,0.0,78.0,False
2022,chittagong,3230507,16,1,29.0,44.0,81.0,False
2022,chittagong,3230507,17,0,30.0,1.0,79.0,False
2022,chittagong,3230507,18,0,29.0,47.0,78.0,False
2022,chittagong,3230507,19,0,29.0,47.0,82.0,False
2022,chittagong,3230507,20,0,30.0,106.0,82.0,False
2022,chittagong,3230507,21,0,28.0,132.0,84.0,False
2022,chittagong,3230507,22,0,28.0,72.0,87.0,False
2022,chittagong,3230507,23,1,30.0,0.0,83.0,False
2022,chittagong,3230507,24,6,27.0,227.0,92.0,False
2022,chittagong,3230507,25,2,28.0,284.0,86.0,False
2022,chittagong,3230507,26,5,29.0,12.0,83.0,False
2022,chittagong,3230507,27,5,30.0,19.0,79.0,False
2022,chittagong,3230507,28,10,30.0,8.0,75.0,False
2022,chittagong,3230507,29,11,28.0,207.0,87.0,False
2022,chittagong,3230507,30,15,30.0,36.0,80.0,False
2022,chittagong,3230507,31,18,30.0,42.0,82.0,False
2022,chittagong,3230507,32,12,29.0,10.0,80.0,False
2022,chittagong,3230507,33,16,30.0,24.0,79.0,False
2022,chittagong,3230507,34,26,29.0,40.0,81.0,False
2022,chittagong,3230507,35,46,30.0,87.0,81.0,False
2022,chittagong,3230507,36,70,29.0,94.0,83.0,False
2022,chittagong,3230507,37,137,28.0,143.0,87.0,True
2022,chittagong,3230507,38,103,29.0,58.0,81.0,True
2022,chittagong,3230507,39,175,29.0,20.0,86.0,True
2022,chittagong,3230507,40,186,29.0,46.0,79.0,True
2022,chittagong,3230507,41,335,29.0,25.0,77.0,True
2022,chittagong,3230507,42,378,29.0,10.0,80.0,True
2022,chittagong,3230507,43,526,27.0,57.0,77.0,True
2022,chittagong,3230507,44,483,28.0,0.0,77.0,True
2022,chittagong,3230507,45,487,26.0,0.0,68.0,True
2022,chittagong,3230507,46,533,26.0,0.0,66.0,True
2022,chittagong,3230507,47,437,25.0,0.0,68.0,True
2022,chittagong,3230507,48,298,27.0,0.0,69.0,True
2022,chittagong,3230507,49,303,24.0,0.0,70.0,True
2022,chittagong,3230507,50,143,22.0,0.0,74.0,True
2022,chittagong,3230507,51,65,22.0,0.0,70.0,False
2022,chittagong,3230507,52,53,21.0,20.0,75.0,False
2023,chittagong,3230507,1,25,19.0,0.0,79.0,False
2023,chittagong,3230507,2,8,21.0,1.0,72.0,False
2023,chittagong,3230507,3,5,21.0,0.0,57.0,False
2023,chittagong,3230507,4,4,23.0,0.0,63.0,False
2023,chittagong,3230507,5,1,22.0,0.0,67.0,False
2023,chittagong,3230507,6,1,22.0,0.0,76.0,False
2023,chittagong,3230507,7,4,23.0,0.0,61.0,False
2023,chittagong,3230507,8,2,25.0,0.0,77.0,False
2023,chittagong,3230507,9,7,27.0,0.0,56.0,False
2023,chittagong,3230507,10,0,28.0,0.0,52.0,False
2023,chittagong,3230507,11,1,26.0,0.0,74.0,False
2023,chittagong,3230507,12,1,25.0,28.0,81.0,False
2023,chittagong,3230507,13,0,27.0,44.0,79.0,False
2023,chittagong,3230507,14,0,29.0,37.0,70.0,False
2023,chittagong,3230507,15,2,30.0,0.0,72.0,False
2023,chittagong,3230507,16,4,30.0,9.0,80.0,False
2023,chittagong,3230507,17,0,31.0,0.0,62.0,False
2023,chittagong,3230507,18,1,31.0,0.0,70.0,False
2023,chittagong,3230507,19,2,30.0,7.0,79.0,False
2023,chittagong,3230507,20,4,28.0,102.0,80.0,False
2023,chittagong,3230507,21,16,28.0,53.0,81.0,False
2023,chittagong,3230507,22,22,29.0,60.0,83.0,False
2023,chittagong,3230507,23,12,30.0,0.0,83.0,False
2023,chittagong,3230507,24,40,28.0,196.0,90.0,False
2023,chittagong,3230507,25,57,28.0,315.0,88.0,False
2023,chittagong,3230507,26,97,30.0,12.0,85.0,False
2023,chittagong,3230507,27,281,29.0,34.0,85.0,True
2023,chittagong,3230507,28,311,29.0,20.0,84.0,True
2023,chittagong,3230507,29,444,30.0,4.0,81.0,True
2023,chittagong,3230507,30,383,30.0,18.0,85.0,True
2023,chittagong,3230507,31,652,28.0,321.0,94.0,True
2023,chittagong,3230507,32,653,27.0,474.0,92.0,True
2023,chittagong,3230507,33,565,30.0,62.0,86.0,True
2023,chittagong,3230507,34,727,28.0,165.0,90.0,True
2023,chittagong,3230507,35,789,29.0,151.0,89.0,True
2023,chittagong,3230507,36,766,29.0,56.0,88.0,True
2023,chittagong,3230507,37,905,29.0,21.0,89.0,True
2023,chittagong,3230507,38,1031,29.0,103.0,87.0,True
2023,chittagong,3230507,39,971,30.0,64.0,89.0,True
2023,chittagong,3230507,40,840,28.0,112.0,90.0,True
2023,chittagong,3230507,41,661,29.0,0.0,89.0,True
2023,chittagong,3230507,42,594,29.0,0.0,79.0,True
2023,chittagong,3230507,43,458,27.0,76.0,84.0,True
2023,chittagong,3230507,44,425,28.0,0.0,77.0,True
2023,chittagong,3230507,45,349,26.0,0.0,81.0,True
2023,chittagong,3230507,46,312,26.0,84.0,88.0,True
2023,chittagong,3230507,47,239,25.0,0.0,80.0,True
2023,chittagong,3230507,48,195,26.0,0.0,79.0,True
2023,chittagong,3230507,49,141,25.0,9.0,82.0,True
2023,chittagong,3230507,50,93,21.0,0.0,79.0,False
2023,chittagong,3230507,51,57,22.0,0.0,79.0,False
2023,chittagong,3230507,52,43,22.0,0.0,79.0,False
2024,chittagong,3230507,1,17,22.0,0.0,79.0,False
2024,chittagong,3230507,2,19,22.0,0.0,79.0,False
2024,chittagong,3230507,3,14,22.0,0.0,79.0,False
2024,chittagong,3230507,4,20,22.0,0.0,79.0,False
2024,chittagong,3230507,5,6,22.0,0.0,79.0,False
2024,chittagong,3230507,6,6,22.0,0.0,79.0,False
2024,chittagong,3230507,7,2,22.0,0.0,79.0,False
2024,chittagong,3230507,8,8,22.0,0.0,79.0,False
2024,chittagong,3230507,9,7,22.0,0.0,79.0,False
2024,chittagong,3230507,10,4,22.0,0.0,79.0,False
2024,chittagong,3230507,11,10,22.0,0.0,79.0,False
2024,chittagong,3230507,12,8,22.0,0.0,79.0,False
2024,chittagong,3230507,13,2,22.0,0.0,79.0,False
2024,chittagong,3230507,14,1,22.0,0.0,79.0,False
2024,chittagong,3230507,15,4,22.0,0.0,79.0,False
2024,chittagong,3230507,16,4,22.0,0.0,79.0,False
2024,chittagong,3230507,17,3,22.0,0.0,79.0,False
2024,chittagong,3230507,18,6,22.0,0.0,79.0,False
2024,chittagong,3230507,19,0,22.0,0.0,79.0,False
2024,chittagong,3230507,20,3,22.0,0.0,79.0,False
2024,chittagong,3230507,21,5,22.0,0.0,79.0,False
2024,chittagong,3230507,22,5,22.0,0.0,79.0,False
2024,chittagong,3230507,23,10,22.0,0.0,79.0,False
